,Delegates,Loan Matches,Scores,state
66,Abraham Baldwin,Abraham Baldwin,100.0,CT
2219,Adam Crain Jones,Adam Crain Jones,100.0,SC
112,Alexander Hamilton,Alexander Hamilton,100.0,MD
2564,Alexander Robertson,Alexander Robertson,100.0,NY
3292,Alexander Tweed,Alexander Tweed,100.0,SC
1292,Alexander White,Alexander White,100.0,VA
2479,Allen Samuel,Samuel Allen Otis,95.0,SC
3154,Allen Thomas,Thomas Allen,95.0,CT
1732,Allen Thomas,Thomas Allen,95.0,RI
219,Amasa Learned,Amasa Learned,100.0,RI
2013,Amos Moody,Amos Moody,100.0,NH
3448,Andrew Baskins,Andrew Baskins,100.0,SC
472,Andrew Lee,Andrew Lee,100.0,PA
2919,Anthony Ten Eyck,Anthony Ten Eyck,100.0,NY
3029,Anthony Toomer,Anthony Toomer,100.0,SC
1601,Archibald Woods,Archibald Woods,100.0,VA
3072,Arnoldus Vanderhorst,Arnoldus  Vanderhorst,97.5609756097561,SC
3071,Arnoldus Vanderhorst,Arnoldus Vanderhorst,100.0,SC
540,Asaph Hall,Asaph Hall,100.0,CT
2130,Barker Abraham,Abraham Barker,95.0,RI
2081,Barton William,William Barton,95.0,RI
981,Benjamin Browne,Benjamin Brown,96.55172413793103,NH
384,Benjamin Hall,Benjamin Hall,100.0,RI
1069,Benjamin Harrison,Benjamin Harrison,100.0,VA
1150,Benjamin Harrison V,Benjamin Harrison,95.0,VA
7217,Benjamin Hicks,Benjamin Hicks,100.0,NY
311,Benjamin Hinma,Benjamin Hinman,96.55172413793103,CT
9334,Benjamin Jones,Benjamin Jones and Co,90.0,NY
2064,Benjamin Sheldon,Benjamin Sheldon,100.0,CT
2792,Benjamin Smith,Benjamin Smith,100.0,VA
1481,Benjamin Temple,Benjamin Temple,100.0,VA
2945,Benjamin Thomas,Thomas and Benjamin Harwood,85.5,VA
9053,Benjamin West,Benjamin F West,95.0,NY
1711,Bosworth Benjamin,Benjamin Bosworth,95.0,RI
2080,Bourne Benjamin,Benjamin Bourne,95.0,RI
1659,Bowen Jabez,Jabez Bowen,95.0,RI
1705,Bradford William,William Bradford,95.0,RI
1729,Brown Elisha,Elisha Brown,95.0,RI
1992,Brown John,John Brown,95.0,NC
7453,Brown John,John Brown,95.0,NY
4615,Brown John,John Brown,95.0,PA
1721,Brown John,John Brown,95.0,RI
4317,Brown John,John Brown,95.0,VA
599,Caleb Holt,Caleb Holt,100.0,CT
2369,Calvin Spencer,Calvin Spencer,100.0,SC
1655,Champlin George,George Champlin,95.0,RI
721,Charles Chilton,Charles Chilton,100.0,MD
374,Charles Phelps,Charles Phelps,100.0,CT
166,Charles Pinckney,Charles C Pinckney,95.0,SC
129,Charles Pinckney,Charles Coteaworth  Pinckney,85.5,SC
1187,Charles Simms,Charles Simms,100.0,VA
1516,Christopher Mason,Christopher Mason,100.0,RI
2137,Christopher Toppan,Christopher  Toppan,97.29729729729729,NH
2031,Christopher Toppan,Christopher Toppan,100.0,NH
4220,Clark John I,John Clark,95.0,VA
2076,Clarke Peleg,Peleg Clarke,95.0,RI
1945,Daniel Cannon,Daniel Cannon,100.0,SC
136,Daniel Carroll,Daniel Carroll,100.0,PA
77,Daniel Carroll,Daniel Carroll Brent,95.0,MD
1877,Daniel DeSaussure,Daniel  DeSaussure,97.14285714285714,SC
2911,Daniel DeSaussure,Daniel Desaussure,100.0,SC
1058,Daniel Fisher,Daniel Fisher,100.0,VA
386,Daniel Foot,Daniel Foot,100.0,CT
409,Daniel Hall,Daniel Hall,100.0,SC
2068,Daniel Rodgers,Daniel Denison Rogers,85.5,VA
2978,Daniel Smith,Daniel Smith,100.0,SC
1059,Daniel Whitney,Daniel Whitney,100.0,RI
52,Daniel of St. Thomas Jenifer,Daniel Jenifer,85.5,MD
2415,David Brown,David Brown,100.0,CT
1202,David Brown,David Brown,100.0,RI
5264,David Caldwell,David Caldwell,100.0,PA
70,David Crane ,David Crane,100.0,NY
4357,David Jameson,David Jameson,100.0,VA
2890,David Ramsay,David Ramsay,100.0,SC
1162,David Smith,David  Smith,95.65217391304348,NY
1163,David Smith,David  Smith and Co,85.5,NY
618,David Smith,David Smith,100.0,MD
1145,David Stuart,David Steuart,96.0,MD
1185,David Stuart,David Steuart,96.0,VA
955,David Stuart,David Stuart,100.0,VA
5256,David Wilson,David Wilson,100.0,VA
3123,Davis John,John Davis,95.0,CT
4592,Davis John,John Davis,95.0,PA
2136,Dexter John S,John S Dexter,95.0,RI
572,Ebenezer White,Ebenezer White,100.0,CT
273,Edmund J. Randolph,Edmund Randolph,95.0,VA
1430,Edmund Randolph,Edmund Randolph,100.0,VA
4724,Edmund Taylor Jr.,Edmund Taylor,95.0,VA
1868,Edward Blake,Edward Blake,100.0,SC
1863,Edward Darrell,Edward Darrell,100.0,SC
1966,Edward Lightwood,Edward Lightwood,100.0,SC
2888,Edward Rutledge,Edward Rutledge,100.0,SC
8371,Edward Williams,Edward Williams,100.0,NY
5173,Edward Williams,William Edwards,88.66666666666666,VA
153,Elbridge Gerry,Elbridge Gerry,100.0,PA
640,Elihu Marvin,Elihu Marvin,100.0,CT
507,Eliphalet Dyer,Eliphalet Dyer,100.0,CT
517,Elisha Mills,Elisha Mills,100.0,CT
2521,Enoch Edwards,Enoch Edwards,100.0,PA
1701,Enoch Sawyer,Enoch Sawyer,100.0,NH
404,Ephraim Carpenter,Ephraim Carpenter,100.0,RI
590,Ephraim Root,Ephraim Root,100.0,CT
285,Ephraim Root,Ephraim and Phoebe Root,85.5,NH
2015,Ezra Green,Ezra Green,100.0,NH
946,French Strother,French Strother,100.0,VA
1348,Gabriel Jones,Gabriel Jones,100.0,VA
6010,Gabriel Manigault,Gabriel  Manigault,97.14285714285714,NY
6009,Gabriel Manigault,Gabriel Manigault,100.0,NY
3126,Gabriel Manigault,Gabriel Manigault,100.0,SC
1061,George Carrington,George Carrington,100.0,VA
3592,George Clinton,George  Clinton ,96.55172413793103,NY
3411,George Clinton,George Clinton,100.0,NY
243,George Clymer,George Clymer,100.0,PA
349,George Gale,George Gale,100.0,MD
1001,George Gray,George Gray,100.0,NC
2271,George Gray,George Gray,100.0,VA
3732,George Houser,George House,96.0,CT
1142,George Jackson,George Jackson,100.0,VA
226,George Mason,George Mason,100.0,VA
190,George Matthews,George Mathews,96.55172413793103,VA
249,George Matthews,George Matthews,100.0,VA
630,George Parker,George Parker,100.0,SC
326,George Plater,George Plater,100.0,MD
41,George Read,George Read,100.0,VA
287,George Washington,George Washington,100.0,PA
269,George Washington,George Washington,100.0,VA
275,George Wythe,George Wythe,100.0,VA
337,Gideon Buckingham,Gideon Buckingham,100.0,CT
1985,Glen Drayton,Glen Drayton,100.0,SC
2193,Hardy Murfee,Hardy Murfree,96.0,NC
1653,Hazard George,George C Hazard,95.0,RI
2073,Hazard George,George Hazard,95.0,RI
4984,Henry Hill,Henry Hill,100.0,PA
1136,Henry Laurens,Henry Laurens,100.0,
1980,Henry Laurens,Henry Laurens,100.0,SC
1128,Henry Lee,Henry Lee,100.0,VA
1885,Henry Lee III,Henry Lee,95.0,VA
577,Hezekiah Brainard,Hezekiah Brainard,100.0,CT
3030,Hugh Rutledge,Hugh Rutledge,100.0,SC
81,Hugh Williamson,Hugh Williamson,100.0,NC
236,Hugh Williamson,Hugh Williamson,100.0,PA
587,Ichabod Warner,Ichabod Warner,100.0,CT
1109,Isaac Coles,Isaac Cowles,95.65217391304348,CT
3180,Isaac Harleston,Isaac Harleston,100.0,SC
253,Isaac Lee,Isaac Lee,100.0,CT
1864,Isaac Motte,Isaac Motte,100.0,SC
2038,Isaac Parker,Isaac Parker,100.0,SC
734,Isaac Perkins,Isaac Perkins,100.0,MD
3291,Isaac Roosevelt,Isaac Roosevelt,100.0,NY
1140,Isaac Vanmeter,Isaac Vanmeter,100.0,VA
327,Jabez Fitch,Jabez Fitch,100.0,CT
764,Jabez Fitch,Jabez Fitch,100.0,NY
1512,Jacob Brown,Jacob Brown,100.0,NH
3613,James Anderson,James Anderson,100.0,VA
3614,James Anderson,James Sanderson,96.55172413793103,VA
2622,James Campbell,James Campbell,100.0,PA
2382,James Campbell,James Campbell,100.0,VA
3598,James Clinton,James Clinton,100.0,NY
4413,James Craig,James Craig,100.0,PA
423,James Davenport,James Davenport,100.0,CT
981,James Davenport,James Davenport,100.0,NY
424,James Davenport,John and James Davenport,90.0,CT
982,James Davenport,John and James Davenport,90.0,NY
838,James Gordon,James Gordon,100.0,SC
1633,James Gordon,James Gordon Heron,90.0,PA
480,James Gordon Heron,James Gordon,90.0,SC
905,James Gordon Heron,James Gordon Heron,100.0,PA
809,James Gordon Heron,James Heron,85.5,VA
8797,James Gray,James Gray,100.0,NY
2267,James Johnson,James Johnston,96.29629629629629,NY
1609,James Johnson,James Johnston,96.29629629629629,PA
1160,James Johnson,James Johnston,96.29629629629629,VA
4152,James Knox,James Knox,100.0,VA
264,James Madison Jr.,James Maddison,86.66666666666667,VA
219,James Madison Jr.,James Madison,95.0,VA
1273,"James Madison, Jun.",James Madison,95.0,VA
1623,James Martin,James Martin,100.0,NY
272,James Maxwell,James Maxwell,100.0,VA
272,James McClurg,James McClurg,100.0,VA
4844,James Moore,James Moore,100.0,PA
2583,James Moore,James Moore,100.0,SC
2611,James Morris,James Morris,100.0,PA
405,James Potter,Richard and James Potter,90.0,PA
338,James Potter,Richard and James Potter,90.0,SC
2868,James Stewart,James Stewart,100.0,VA
1139,James Taylor,James Taylor,100.0,VA
7440,James Thomas,James  Thomas,96.0,NY
7014,James Thomas,James Thomas,100.0,NY
4733,James Thompson,James H Thomson,89.65517241379311,SC
4182,James Thompson,James Thompson,100.0,CT
3837,James Watson,James Watson,100.0,CT
8315,James Watson,James Watson,100.0,NY
4322,James Watson,James Watson,100.0,SC
2819,James Williams,James  Williams,96.55172413793103,MD
1087,James Williams,James Williams,100.0,MD
1508,James Williams,James Williams,100.0,RI
2986,James Williams,James Williams,100.0,VA
4765,James Williams,William and James Constable,85.5,NY
250,James Wilson,James Wilson,100.0,PA
2546,Jasper Yeates,Jasper Yeates,100.0,PA
353,Jedediah Huntington,Jedediah Huntington,100.0,CT
2145,Jeremiah Fogg,Jeremiah Fogg,100.0,NH
8611,Jeremiah Frazier,Jeremiah Frazier,100.0,NY
589,Jeremiah Ripley,Jeremiah Ripley,100.0,CT
364,Jeremiah Wadsworth,Jeremiah  Wadsworth,97.29729729729729,PA
279,Jeremiah Wadsworth,Jeremiah Wadsworth,100.0,CT
252,Jesse Root,Jesse Root,100.0,CT
3342,Jesse Woodhull,Jesse Woodhull,100.0,NY
701,John  Allen,John Allen,95.23809523809524,RI
2296,John A. Campbell,John Campbell,95.0,NC
8158,John A. Campbell,John Campbell,95.0,NY
1780,John Allen,John Allen,100.0,RI
2606,John Ashley,John Ashley,100.0,CT
5526,John Ashley,John Ashley,100.0,NY
1826,John Ashley,John Ashley,100.0,SC
3201,John Ashley,John Ashley,100.0,VA
1899,John Baird,John Baird,100.0,VA
7630,John Baker,John Baker,100.0,NY
5005,John Baker,John Barker,95.23809523809524,PA
2523,John Barclay,John Barclay,100.0,PA
253,John Blair,John Blair,100.0,VA
1888,"John Blair, Jun.",John Blair,90.0,VA
3011,John Blake,John Blake,100.0,SC
3506,John Bowie,John Bowie,100.0,SC
3616,John Boyd,John Boyd,100.0,NY
2571,John Brooks,John Smith Brookes,85.5,MD
2439,John Brown,John Brown,100.0,NC
9298,John Brown,John Brown,100.0,NY
5689,John Brown,John Brown,100.0,PA
2095,John Brown,John Brown,100.0,RI
5330,John Brown,John Brown,100.0,VA
558,John Carter Littlepage,John Carter,90.0,RI
1068,John Carter Littlepage,John Carter,90.0,VA
2205,John Chesnut,John Chesnut,100.0,SC
943,John Coffin Jones,Coffin Jones,95.0,RI
1095,John Coffin Jones,John Jones,85.5,NC
3916,John Coffin Jones,John Jones,85.5,NY
2742,John Coffin Jones,John Jones,85.5,PA
6823,John Collins,John Collin,95.65217391304348,NY
7227,John Collins,John Collin ,95.65217391304348,NY
4417,John Cook,John Cook,100.0,PA
2315,John Cook,John Cook,100.0,SC
428,"John Davenport, Jun.",John Davenport,95.0,CT
988,"John Davenport, Jun.",John Davenport,95.0,NY
2175,John Davis,John Davis,100.0,CT
3175,John Davis,John Davis,100.0,PA
2925,John Davis,John R Davies,86.95652173913044,VA
1472,John Dawson,John Dawson,100.0,SC
3160,John DeWitt,John L DeWitt,95.0,NY
45,John Dickinson,John Dickinson,100.0,CT
3059,John Edwards,John  Edwards,96.0,SC
1702,John Evans,John Evans,100.0,PA
132,John F. Mercer,John Mercer,95.0,VA
22,John Fell,John  Fell ,95.0,NY
16,John Fell,John Fell,100.0,NY
1189,John Fowler,John Fowler,100.0,VA
973,John Francis Mercer,John Francis Mercer,100.0,MD
1068,John Francis Mercer,John Mercer,85.5,VA
352,John Gale,John Gale,100.0,MD
981,John Gale,John Gale,100.0,PA
4126,John Glover,John Glover,100.0,NY
4949,John H. Bryan,John Bryan,95.0,VA
3223,John Hall,John Hall,100.0,CT
2234,John Hamilton,John Hamilton,100.0,VA
4082,John Hampton,John Hampton,100.0,VA
1834,John Hancock,John Hancock,100.0,CT
1942,John Hancock,John Hancock,100.0,VA
2026,John Huger,John Huger,100.0,SC
3457,John Hunn,John L Hunn,95.0,NY
1903,John Hunt,John Hunt,100.0,RI
4840,John Hunt,John Hunt,100.0,VA
3897,John Hunter,John Hunter,100.0,MD
2293,John Huske,John Huske,100.0,NC
65,John Ingram,John Ingram,100.0,NC
3330,John Jay,John Jay,100.0,NY
7113,John Johnston,John Johnson,96.0,NY
2179,John Johnston,John Johnson,96.0,RI
7555,John Johnston,John Johnson ,96.0,NY
4664,John Johnston,John Johnston,100.0,PA
2498,John Johnston,John Johnston,100.0,SC
67,John Jones,John Jones,100.0,NC
288,John Jones,John Jones,100.0,NY
180,John Jones,John Jones,100.0,PA
3622,John Julius Pringle,John Pringle,85.5,PA
1461,John K. Smith,John Smith,95.0,NC
3382,John K. Smith,John Smith,95.0,PA
1289,John K. Smith,John Smith,95.0,RI
2481,John K. Smith,John Smith,95.0,VA
3226,John Kean,John Kean,100.0,SC
119,John Langdon,John Langdon,100.0,CT
44,John Langdon,John Langdon,100.0,NH
2740,John Lewis Bourquin,John Lewis,90.0,CT
2887,John Lewis Gervias,John Lewis,90.0,CT
3198,John Lloyd,John Lloyd,100.0,SC
4404,John Low,John Low,100.0,NY
1015,John Low,John Low,100.0,RI
1431,John Marshall,John Marshall,100.0,VA
1403,John McPherson,John McPherson,100.0,MD
3373,John McPherson,John McPherson,100.0,SC
1683,John Miller,John Miller,100.0,PA
4422,John Moore,John Elias Moore,85.5,SC
2752,John Nesbitt (Nisbet),John Nesbit,90.0,SC
4402,John Nesbitt (Nisbet),John Nisbett,85.5,SC
2363,John Nevill,John Nevill,100.0,VA
4094,John Overton,John Overton,100.0,VA
6239,John Palmer,John Palmer,100.0,NY
1405,John Parker,John Parker,100.0,NH
6014,John Parker,John Parker,100.0,NY
2012,John Parker,John Parker,100.0,SC
589,John Phelps,John Phelps,100.0,CT
3254,John Pratt,John Pratt,100.0,PA
4637,John Ramsay,John Ramsay,100.0,VA
3668,John Richards,John Richard,96.0,NY
158,John Rutledge,John Rutledge,100.0,SC
5595,John Scott,John Scott,100.0,PA
5237,John Scott,John Scott,100.0,VA
969,John Smith,John Smith,100.0,NC
2448,John Smith,John Smith,100.0,PA
831,John Smith,John Smith,100.0,RI
1758,John Smith,John Smith,100.0,VA
1960,John Smith,John Smith Brookes,90.0,MD
1959,John Smith,Samuel John Smith,90.0,MD
744,John Smith,Samuel and John Smith,90.0,MD
2218,John Smith,Samuel and John Smith,90.0,VA
1289,John Steele,John Steel,95.23809523809524,CT
1580,John Steele,John Steele,100.0,VA
0,John Stevens,John Stevens,100.0,NY
717,John Stewart,John Stewart,100.0,VA
1591,John Stringer,John Stringer,100.0,VA
1317,John Stuart,John Stuart,100.0,VA
8953,John Sullivan,John Sullivan,100.0,NY
2519,John Taylor,John M Taylor,95.0,CT
1442,John Taylor,John M Taylor,95.0,NC
3340,John Taylor,John M Taylor,95.0,PA
1753,John Taylor,John M Taylor,95.0,SC
3098,John Taylor,John M Taylor,95.0,VA
2518,John Taylor,John Taylor,100.0,CT
4984,John Taylor,John Taylor,100.0,NY
3339,John Taylor,John Taylor,100.0,PA
3097,John Taylor,John Taylor,100.0,VA
1187,John Taylor,John Taylor Gilman,90.0,NH
4339,John Taylor Gilman,John Taylor,90.0,CT
8860,John Taylor Gilman,John Taylor,90.0,NY
5824,John Taylor Gilman,John Taylor,90.0,PA
5487,John Taylor Gilman,John Taylor,90.0,VA
1995,John Taylor Gilman,John Taylor Gilman,100.0,NH
3850,John Thomas,John Laird and Thomas Dick nan,85.5,MD
3179,John Thomas,John P Thomas,95.0,VA
2954,John Thomas,John Thomas,100.0,CT
3839,John Thomas,John Thomas,100.0,MD
4040,John Thomas,John and Thomas Gilliart,85.5,VA
4038,John Thomas,John and Thomas Gilliat,85.5,VA
3846,John Thomas,Samuel John and Thomas Snowden nan,85.5,MD
7486,John Thompson,John H Thompson,95.0,NY
3338,John Thompson,John Thompson,100.0,CT
1790,John Thompson,John Thompson,100.0,NH
4902,John Thompson,John Thompson,100.0,PA
3606,John Thompson,John Thompson,100.0,VA
