,,,,,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,
Samuel Adams,Samuel,Adams,MA,yes,0.0,0,0.0,0,231.0,1,26.0,1,0.0,0,0.0,0
Matthew Adgate,Matthew,Adgate,NY,no,129.0,1,39.0,1,64.0,1,69.0,1,0.0,0,0.0,0
Thomas Allen,Thomas,Allen,VA,no,12.0,1,64.0,1,6.0,1,32.0,1,9.0,1,47.0,1
John  Allen,John ,Allen,VA,yes,26.0,1,42.0,1,13.0,1,20.0,1,19.0,1,81.0,1
John Allen,John,Allen,NC,yes,26.0,1,42.0,1,13.0,1,20.0,1,19.0,1,81.0,1
Robert Andrews,Robert,Andrews,VA,yes,74439.0,36,1719.0,27,35124.0,36,2364.0,36,52716.0,36,540.0,36
John Ashley,John,Ashley,MA,yes,5581.0,8,392.0,8,18192.0,8,199.0,8,6367.0,8,234.0,8
Joseph Badger,Joseph,Badger,NH,no,239.0,1,35.0,1,119.0,1,67.0,1,179.5125,1,0.0,0
Abraham Baldwin,Abraham,Baldwin,Constitution,yes,1401.0,1,70.0,1,700.0,1,85.0,1,1051.0,1,28.0,1
Thomas Banks,Thomas,Banks,NC,yes,461.0,1,81.0,1,230.0,1,91.0,1,346.0,1,36.0,1
Robert Barnwell,Robert,Barnwell,SC,yes,152.0,1,0.3733333333333064,1,76.0,1,0.1866666666666532,1,114.0,1,0.2799999999999869,1
Andrew Baskins,Andrew,Baskins,SC,no,86.0,1,0.01999999999999602,1,43.0,1,0.0,1,64.0,1,0.5,1
John Blair,John,Blair,NC,yes,20340.0,8,404.0,8,10168.0,8,404.0,8,15256.0,8,204.0,8
John Blair,John,Blair,Constitution,yes,20340.0,8,404.0,8,10168.0,8,404.0,8,15256.0,8,204.0,8
"John Blair, Jun.",John,"Blair, Jun.",VA,yes,20340.0,8,404.0,8,10168.0,8,404.0,8,15256.0,8,204.0,8
Edward Blake,Edward,Blake,SC,yes,6580.0,3,2.2200000000002547,3,3289.0,3,2.1000000000001364,3,4935.0,3,1.6300000000002228,3
John Blake,John,Blake,SC,yes,1027.0,1,0.9200000000000728,1,513.0,1,0.9600000000000364,1,770.0,1,0.92999999999995,1
William Blount,William,Blount,Constitution,yes,61.0,1,492.66,1,61.0,1,246.32,1,61.0,1,369.49,1
William Blount,William,Blount,NC,yes,61.0,1,492.66,1,61.0,1,246.32,1,61.0,1,369.49,1
John Bowie,John,Bowie,SC,no,2691.0,1,0.6799999999998363,1,1345.0,1,0.8399999999999181,1,2018.0,1,0.75,1
Hezekiah Brainard,Hezekiah,Brainard,CT,yes,694.0,1,73.0,1,347.0,1,36.0,1,521.0,1,6.0,1
David Brown,David,Brown,MA,no,278.0,2,155.0,2,138.0,2,177.0,2,208.0,2,165.0,2
John Brown,John,Brown,NC,no,28862.0,15,3008.6200000000003,15,4859.0,12,1465.29,12,22845.0,15,2526.9300000000003,15
William Brown,William,Brown,NC,yes,3444.0,1,35.0,1,1722.0,1,18.0,1,2583.0,1,27.0,1
William Brown,William,Brown,PA,no,3444.0,1,35.0,1,1722.0,1,18.0,1,2583.0,1,27.0,1
John H. Bryan,John H.,Bryan,NC,yes,431.0,1,86.0,1,215.0,1,93.0,1,323.0,1,89.0,1
Thaddeus Burr,Thaddeus,Burr,CT,yes,1713.0,1,70.0,1,856.0,1,85.0,1,1285.0,1,29.0,1
Nathaniel Burwell,Nathaniel,Burwell,VA,yes,144.0,1,94.0,1,72.0,1,47.0,1,108.0,1,71.0,1
James Campbell,James,Campbell,PA,did not vote,209.0,1,62.0,1,104.0,1,81.0,1,157.0,1,22.0,1
John A. Campbell,John A.,Campbell,NC,no,62.0,1,132.26,1,62.0,1,66.12,1,62.0,1,99.19,1
Paul Carrington,Paul,Carrington,VA,yes,420.0,1,61.0,1,210.0,1,31.0,1,315.0,1,46.0,1
Nicholas Carroll,Nicholas,Carroll,MD,yes,685.0,1,96.0,1,342.0,1,98.0,1,514.0,1,48.0,1
Samuel Carver,Samuel,Carver,CT,yes,18.0,1,89.0,1,9.0,1,45.0,1,14.0,1,17.0,1
John Chesnut,John,Chesnut,SC,yes,3302.0,1,0.13999999999987267,1,1651.0,1,0.05999999999994543,1,2476.0,1,0.5900000000001455,1
Jonathan Clark,Jonathan,Clark,SC,yes,14724.0,27,972.0,27,7362.0,27,495.0,27,11043.0,27,747.0,27
Moses Cleveland,Moses,Cleveland,CT,yes,0.0,0,0.0,0,456.0,1,8.0,1,684.0,1,11.0,1
James Clinton,James,Clinton,NY,no,631.0,1,11.0,1,315.0,1,56.0,1,473.0,1,33.0,1
George Clinton,George,Clinton,NY,did not vote,0.0,0,0.0,0,0.0,0,0.0,0,810.0,1,51.0,1
Wheeler Coit,Wheeler,Coit,CT,yes,542.0,1,63.0,1,271.0,1,32.0,1,406.0,1,97.0,1
John Collins,John,Collins,SC,yes,0.0,0,0.0,0,93.0,1,40.0,1,140.0,1,7.0,1
David Crane ,David,Crane ,NJ,yes,0.0,0,0.0,0,31.0,1,36.0,1,47.0,1,4.0,1
William Cushing,William,Cushing,MA,yes,257.0,1,34.0,1,128.0,1,67.0,1,193.0,1,0.0,0
William Darke,William,Darke,VA,yes,1924.0,1,14.0,1,962.0,1,7.0,1,1443.0,1,11.0,1
Edward Darrell,Edward,Darrell,SC,yes,11249.0,1,0.31999999999970896,1,5624.0,1,0.6599999999998545,1,8437.0,1,0.010000000000218279,1
James Davenport,James,Davenport,CT,yes,220559.0,100,4140.0,100,123968.0,100,2704.0,100,185932.0,100,5424.0,100
"John Davenport, Jun.",John,"Davenport, Jun.",CT,yes,513126.0,315,18843.0,315,231522.0,315,16293.0,315,347397.0,315,13030.0,315
William Richardson Davie,William Richardson,Davie,NC,yes,1384.0,8,416.0,8,692.0,8,208.0,8,1036.0,8,508.0,8
William R. Davie,William R.,Davie,Constitution,no,27594.0,9,444.0,9,13794.0,9,525.0,9,0.0,0,0.0,0
Thomas Dawes,Thomas,Dawes,MA,yes,273.0,1,57.0,1,136.0,1,78.0,1,0.0,0,0.0,0
John Dawson,John,Dawson,SC,yes,5970.0,2,0.7100000000002638,2,2984.0,2,1.3399999999999181,2,4477.0,2,1.009999999999991,2
John Dawson,John,Dawson,VA,no,5970.0,2,0.7100000000002638,2,2984.0,2,1.3399999999999181,2,4477.0,2,1.009999999999991,2
Jonathan Dayton,Jonathan,Dayton,Constitution,yes,0.0,0,0.0,0,1592.0,2,180.0,2,11521.0,2,44.0,2
"William Deakins, Jun.",William,"Deakins, Jun.",MD,yes,3657.0,5,243.0,5,1826.0,5,371.0,5,1005.0,5,176.0,5
John Dickinson,John,Dickinson,Constitution,yes,3857.0,3,54.0,2,4839.0,3,195.0,3,7260.0,3,141.0,3
Thomas Durfee,Thomas,Durfee,MA,yes,68.0,1,22.0,1,34.0,1,10.0,1,51.0,1,15.0,1
Brown Elisha,Brown,Elisha,RI,no,520.0,8,312.0,8,256.0,8,548.0,8,388.0,8,424.0,8
William Elliot,William,Elliot,SC,yes,1834.0,1,0.19000000000005457,1,917.0,1,0.09000000000003183,1,1375.0,1,0.6300000000001091,1
Oliver Ellsworth,Oliver,Ellsworth,Constitution,no,2660.0,1,98.0,1,1330.0,1,50.0,1,1995.0,1,75.0,1
Oliver Ellsworth,Oliver,Ellsworth,CT,yes,2660.0,1,98.0,1,1330.0,1,50.0,1,1995.0,1,75.0,1
John Fell,John,Fell,NJ,yes,0.0,0,0.0,0,83.0,1,68.0,1,125.0,1,51.0,1
Jabez Fitch,Jabez,Fitch,CT,yes,445.0,1,44.0,1,222.0,1,73.0,1,334.0,1,8.0,1
Thomas Fitzsimons,Thomas,Fitzsimons,Constitution,yes,1010.0,1,0.9333333333332803,1,505.0,1,0.46666666666664014,1,758.0,1,0.1999999999999318,1
Jeremiah Fogg,Jeremiah,Fogg,NH,yes,321.0,1,48.0,1,160.0,1,74.0,1,241.11,1,0.0,0
Daniel Foot,Daniel,Foot,CT,yes,113.0,1,30.0,1,56.0,1,65.0,1,84.0,1,97.0,1
John Fowler,John,Fowler,VA,no,750.0,1,68.0,1,0.0,0,0.0,0,563.0,1,1.0,1
George Gale,George,Gale,MD,yes,1894.0,1,21.0,1,947.0,1,11.0,1,1420.0,1,66.0,1
John Gale,John,Gale,MD,yes,0.0,0,0.0,0,0.0,0,0.0,0,922.0,1,0.0,1
John Taylor Gilman,John Taylor,Gilman,NH,yes,8318.0,2,83.0,2,4159.0,2,31.0,2,6238.0,2,112.0,2
Nicholas Gilman,Nicholas,Gilman,Constitution,yes,455.0,1,53.0,1,227.0,1,76.0,1,341.6475,1,0.0,0
James Gordon,James,Gordon,VA,yes,720.0,2,0.8899999999999864,2,360.0,2,0.4399999999999977,2,540.0,2,0.6599999999999682,2
George Gray,George,Gray,PA,yes,99085.0,37,3331.13,25,49561.0,37,2865.56,37,63673.0,37,2390.34,37
Nathan Hale,Nathan,Hale,CT,yes,255.0,1,11.0,1,127.0,1,55.0,1,191.0,1,33.0,1
Daniel Hall,Daniel,Hall,CT,no,2883.0,3,1.2599999999998488,3,1441.0,3,1.7300000000000466,3,2162.0,3,1.1699999999999307,3
Benjamin Hall,Benjamin,Hall,MD,yes,405.0,1,2.0,1,202.0,1,50.0,1,303.0,1,76.0,1
Asaph Hall,Asaph,Hall,CT,yes,79.0,1,38.0,1,39.0,1,69.0,1,59.0,1,54.0,1
John Hampton,John,Hampton,SC,no,16.0,1,51.0,1,8.0,1,25.0,1,12.0,1,38.0,1
Isaac Harleston,Isaac,Harleston,SC,yes,2987.0,1,0.8699999999998909,1,1493.0,1,0.9300000000000637,1,2240.0,1,0.900000000000091,1
Benjamin Harrison,Benjamin,Harrison,MD,no,55224.0,27,1152.0,27,27603.0,27,1494.0,27,41409.0,27,1764.0,27
Benjamin Harrison V,Benjamin,Harrison V,VA,no,55224.0,27,1152.0,27,27603.0,27,1494.0,27,41409.0,27,1764.0,27
William Hart,William,Hart,CT,yes,12572.0,9,568.0,9,6286.0,9,286.0,9,9431.0,9,238.0,9
Samuel Hay,Samuel,Hay,NJ,yes,0.0,0,0.0,0,338.0,1,38.0,1,507.0,1,58.0,1
James Gordon Heron,James Gordon,Heron,MD,yes,720.0,2,0.8899999999999864,2,360.0,2,0.4399999999999977,2,540.0,2,0.6599999999999682,2
Benjamin Hicks,Benjamin,Hicks,SC,yes,5104.0,8,112.0,8,2552.0,8,64.0,8,3824.0,8,484.0,8
Caleb Holt,Caleb,Holt,CT,yes,142.0,1,46.0,1,71.0,1,23.0,1,106.0,1,85.0,1
Thomas Horry,Thomas,Horry,SC,yes,1090.0,2,0.7199999999999989,2,544.0,2,1.3500000000000085,2,817.0,2,1.0200000000000102,2
William C. Houston,William C.,Houston,Constitution,no,672.0,4,336.0,4,312.0,4,204.0,4,468.0,4,306.0,4
William Houston,William,Houston,NC,yes,672.0,4,336.0,4,312.0,4,204.0,4,468.0,4,306.0,4
William Houstoun,William,Houstoun,Constitution,no,672.0,4,336.0,4,312.0,4,204.0,4,468.0,4,306.0,4
John Hunt,John,Hunt,NC,yes,2259.0,2,110.0,2,13.0,1,62.0,1,20.0,1,43.0,1
John Huske,John,Huske,NC,no,61.0,1,760.78,1,61.0,1,380.39,1,61.0,1,570.58,1
John Ingram,John,Ingram,DE,yes,62.0,1,22.61,1,62.0,1,11.3,1,62.0,1,16.95,1
John Ingram,John,Ingram,NC,yes,62.0,1,22.61,1,62.0,1,11.3,1,62.0,1,16.95,1
Ralph Izard,Ralph,Izard,SC,yes,8588.0,2,0.7644444444440524,2,4294.0,2,0.562222222222033,2,6441.0,2,0.5633333333330484,2
Bowen Jabez,Bowen,Jabez,RI,yes,331.0,1,47.0,1,165.0,1,73.0,1,248.0,1,60.0,1
David Jameson,David,Jameson,NC,yes,11172.0,9,573.0,9,5583.0,9,594.0,9,477.0,9,630.0,9
John Jay,John,Jay,NY,yes,3517.0,1,14.0,1,1758.0,1,57.0,1,2637.0,1,85.0,1
Williams John,Williams,John,RI,no,2418.0,12,414.0,12,1361.0,13,566.0,13,2053.0,13,570.0,13
Brown John,Brown,John,RI,yes,28862.0,15,3008.6200000000003,15,4859.0,12,1465.29,12,22845.0,15,2526.9300000000003,15
Clark John I,Clark,John I,RI,yes,238.0,1,75.0,1,119.0,1,37.0,1,179.0,1,5.0,1
William Johnson,William,Johnson,SC,yes,1205.0,1,0.43000000000006366,1,602.0,1,0.7100000000000364,1,904.0,1,0.07000000000005002,1
William Johnson,William,Johnson,NC,yes,1205.0,1,0.43000000000006366,1,602.0,1,0.7100000000000364,1,904.0,1,0.07000000000005002,1
William Samuel Johnson,William Samuel,Johnson,Constitution,yes,1205.0,1,0.43000000000006366,1,602.0,1,0.7100000000000364,1,904.0,1,0.07000000000005002,1
William Samuel Johnson,William Samuel,Johnson,CT,yes,1205.0,1,0.43000000000006366,1,602.0,1,0.7100000000000364,1,904.0,1,0.07000000000005002,1
John Johnston,John,Johnston,NC,yes,0.0,0,0.0,0,301.0,1,46.0,1,450.0,1,68.0,1
William Johnston,William,Johnston,NC,yes,1205.0,1,0.43000000000006366,1,602.0,1,0.7100000000000364,1,904.0,1,0.07000000000005002,1
Thomas Jones,Thomas,Jones,MA,yes,5098.0,3,2.349999999999909,3,2548.0,3,2.159999999999968,3,3824.0,3,1.2500000000001137,3
John Coffin Jones,John Coffin,Jones,MA,yes,0.0,0,0.0,0,33.0,1,37.0,1,50.0,1,5.0,1
Samuel Jones,Samuel,Jones,NY,yes,0.0,0,0.0,0,92.0,1,1.0,1,138.0,1,2.0,1
Thomas Jones,Thomas,Jones,SC,yes,5098.0,3,2.349999999999909,3,2548.0,3,2.159999999999968,3,3824.0,3,1.2500000000001137,3
John Jones,John,Jones,VA,no,61.0,1,4037.67,1,61.0,1,2018.83,1,61.0,1,3028.25,1
John Jones,John,Jones,DE,yes,61.0,1,4037.67,1,61.0,1,2018.83,1,61.0,1,3028.25,1
Joseph Jones,Joseph,Jones,VA,no,17.0,1,9.0,1,8.0,1,54.0,1,12.0,1,81.0,1
John Kean,John,Kean,SC,yes,1044.0,1,0.1999999999998181,1,522.0,1,0.09999999999990905,1,783.0,1,0.14999999999986358,1
William Kennedy,William,Kennedy,SC,no,0.0,0,0.0,0,85.0,1,55.0,1,0.0,0,0.0,0
Rufus King,Rufus,King,MA,yes,3276.0,4,0.0,2,2712.0,4,200.0,4,2876.0,4,268.0,4
Rufus King,Rufus,King,Constitution,yes,3276.0,4,0.0,2,2712.0,4,200.0,4,2876.0,4,268.0,4
James Knox,James,Knox,SC,no,251.0,1,58.0,1,125.0,1,79.0,1,188.0,1,68.0,1
John Langdon,John,Langdon,Constitution,yes,12641.0,28,925.0,28,6311.0,28,1422.0,28,9487.25,28,45.0,1
John Langdon,John,Langdon,NH,yes,12641.0,28,925.0,28,6311.0,28,1422.0,28,9487.25,28,45.0,1
Henry Laurens,Henry,Laurens,SC,yes,35457.0,4,0.720000000001022,4,17728.0,4,0.8400000000001882,4,26591.0,4,2.249999999999602,4
Richard Law,Richard,Law,CT,yes,67.0,1,87.0,1,33.0,1,94.0,1,50.0,1,91.0,1
Henry Lee,Henry,Lee,VA,no,197.0,1,40.0,1,0.0,0,0.0,0,0.0,0,0.0,0
Thomas Sim Lee,Thomas Sim,Lee,MD,yes,948.0,2,51.0,2,473.0,2,125.0,2,711.0,2,38.0,2
Henry Lee III,Henry,Lee III,VA,yes,197.0,1,40.0,1,0.0,0,0.0,0,0.0,0,0.0,0
Joseph Leech,Joseph,Leech,NC,yes,85.0,1,6.0,1,42.0,1,53.0,1,63.0,1,80.0,1
Nathaniel Leonard,Nathaniel,Leonard,MA,yes,0.0,0,0.0,0,964.0,1,66.0,1,1446.0,1,97.0,1
Warner Lewis,Warner,Lewis,VA,yes,2068.0,1,17.0,1,1034.0,1,9.0,1,1551.0,1,14.0,1
Edward Lightwood,Edward,Lightwood,SC,yes,790.0,1,0.01999999999998181,1,395.0,1,0.0,1,592.0,1,0.5099999999999909,1
John Carter Littlepage,John Carter,Littlepage,VA,no,6.0,1,86.0,1,3.0,1,43.0,1,5.0,1,14.0,1
Robert R. Livingston,Robert R.,Livingston,NY,yes,586.0,2,76.0,2,0.0,0,0.0,0,3910.0,2,60.0,2
Philip Livingston,Philip,Livingston,NY,yes,213784.0,8,128.0,8,35292.0,8,64.0,8,50336.0,8,296.0,8
John Lloyd,John,Lloyd,SC,yes,1750.0,1,0.7300000000000182,1,875.0,1,0.36000000000001364,1,1313.0,1,0.03999999999996362,1
Nicholas Low,Nicholas,Low,NY,yes,3924975.0,842,62161.62666666666,842,2914963.0,842,36121.31333333333,842,3790171.0,842,37941.47,842
