,,,,,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
John Low,John,Low,MA,yes,1509.0,2,130.0,2,754.0,2,114.0,2,1131.0,2,170.0,2
Gabriel Manigault,Gabriel,Manigault,SC,yes,16271.0,1,0.5,1,26959.0,9,688.7399999999998,9,36609.0,9,124.6200000000008,9
John Marshall,John,Marshall,VA,yes,3174.0,1,33.0,1,1587.0,1,16.0,1,2380.0,1,75.0,1
James Martin,James,Martin,SC,no,6275.0,2,36.0,2,0.0,0,0.0,0,0.0,0,0.0,0
James Martin,James,Martin,MD,yes,6275.0,2,36.0,2,0.0,0,0.0,0,0.0,0,0.0,0
Joseph Martin,Joseph,Martin,NC,yes,920.0,1,18.0,1,460.0,1,9.0,1,690.0,1,13.0,1
James Martin,James,Martin,PA,no,6275.0,2,36.0,2,0.0,0,0.0,0,0.0,0,0.0,0
William Mason,William,Mason,VA,yes,2440.0,8,616.0,8,1220.0,8,712.0,8,1836.0,8,468.0,8
George Matthews,George,Matthews,GA,yes,5189.0,1,27.0,1,2594.0,1,64.0,1,3891.0,1,96.0,1
James Maxwell,James,Maxwell,GA,yes,1783.0,1,99.0,1,891.0,1,99.0,1,1337.0,1,99.0,1
James McClurg,James,McClurg,Constitution,no,11919.0,1,78.0,1,5959.0,1,89.0,1,8939.0,1,84.0,1
John McPherson,John,McPherson,SC,yes,109.0,2,94.22,2,54.0,2,48.6,2,81.0,2,71.9,2
John F. Mercer,John F.,Mercer,Constitution,no,0.0,0,0.0,0,0.0,0,0.0,0,6144.0,1,68.0,1
Elisha Mills,Elisha,Mills,CT,yes,32016.0,64,5392.0,64,16000.0,64,3520.0,64,24016.0,64,3664.0,64
William Moore,William,Moore,DE,yes,2726.0,1,99.0,1,1363.0,1,50.0,1,2045.0,1,93.0,1
William Morris,William,Morris,MD,yes,2165.0,1,27.0,1,1082.0,1,64.0,1,1623.0,1,96.0,1
Lewis Morris,Lewis,Morris,NY,yes,4121.0,1,0.6700000000000728,1,2060.0,1,0.8299999999999272,1,3091.0,1,0.23999999999978172,1
Lewis Morris,Lewis,Morris,SC,yes,4121.0,1,0.6700000000000728,1,2060.0,1,0.8299999999999272,1,3091.0,1,0.23999999999978172,1
Robert Morris,Robert,Morris,Constitution,yes,1767.0,1,0.8755555555553656,1,883.0,1,0.9377777777776828,1,1325.0,1,0.9066666666665242,1
Joseph Mosely,Joseph,Mosely,CT,yes,448.0,1,17.0,1,224.0,1,9.0,1,336.0,1,12.0,1
Isaac Motte,Isaac,Motte,SC,yes,6492.0,2,0.8600000000000136,2,3245.0,2,1.4199999999997885,2,4869.0,2,0.6399999999998727,2
John Nevill,John,Nevill,PA,yes,1945.0,1,73.0,1,972.0,1,86.0,1,1459.0,1,29.0,1
Roger Newberry,Roger,Newberry,CT,yes,175.0,1,82.0,1,87.0,1,91.0,1,131.0,1,87.0,1
William Noyes,William,Noyes,CT,yes,31200.0,48,2808.0,48,15576.0,48,3828.0,48,29552.0,48,2208.0,48
Isaac Parker,Isaac,Parker,SC,yes,145.0,1,0.6899999999999977,1,72.0,1,0.8400000000000034,1,109.0,1,0.2600000000000051,1
John Parker,John,Parker,SC,yes,3344.0,11,57.63777777777773,11,2299.0,11,237.30888888888887,11,9209.5675,11,292.96333333333314,10
Samuel H. Parsons,Samuel H.,Parsons,CT,yes,1903.0,1,0.8800000000001091,1,951.0,1,0.9400000000000546,1,1427.0,1,0.900000000000091,1
William Paterson,William,Paterson,Constitution,yes,10216.0,1,84.0,1,5108.0,1,42.0,1,7662.0,1,64.0,1
Robert Patton,Robert,Patton,SC,no,13113.0,27,1026.0,27,6552.0,27,963.0,27,9828.0,27,1440.0,27
William Peachy,William,Peachy,VA,yes,47.0,1,11.0,1,23.0,1,56.0,1,35.0,1,33.0,1
Thomas H. Perkins,Thomas H.,Perkins,NC,no,62.0,1,11.63,1,62.0,1,5.81,1,62.0,1,8.72,1
William Phillips,William,Phillips,MA,yes,176.0,1,61.0,1,88.0,1,30.0,1,132.0,1,45.0,1
Thomas Pierce,Thomas,Pierce,VA,did not vote,592.0,1,2.0,1,296.0,1,1.0,1,444.0,1,2.0,1
Charles Pinckney,Charles,Pinckney,Constitution,yes,4829.0,1,0.02999999999974534,1,2414.0,1,0.5100000000002183,1,3621.0,1,0.7600000000002183,1
Charles Pinckney,Charles,Pinckney,SC,yes,4829.0,1,0.02999999999974534,1,2414.0,1,0.5100000000002183,1,3621.0,1,0.7600000000002183,1
George Plater,George,Plater,MD,yes,127.0,1,86.0,1,0.0,0,0.0,0,95.0,1,91.0,1
Levin Powell,Levin,Powell,VA,yes,599.0,1,17.0,1,0.0,0,0.0,0,449.0,1,38.0,1
John Ramsay,John,Ramsay,NC,yes,31.0,1,93.0,1,15.0,1,96.0,1,23.0,1,94.0,1
David Ramsay,David,Ramsay,SC,yes,2046.0,1,0.8399999999999181,1,1023.0,1,0.4199999999999591,1,1535.0,1,0.13000000000010914,1
Edmund Randolph,Edmund,Randolph,VA,yes,6517.0,1,51.0,1,3258.0,1,76.0,1,4888.0,1,14.0,1
John Richards,John,Richards,PA,yes,0.0,0,0.0,0,144.0,2,182.0,2,3639.0,2,91.0,2
Samuel  Richardson,Samuel ,Richardson,VA,no,216.0,1,48.0,1,108.0,1,24.0,1,162.0,1,35.0,1
William Richardson,William,Richardson,MD,yes,1384.0,8,416.0,8,692.0,8,208.0,8,1036.0,8,508.0,8
Jeremiah Ripley,Jeremiah,Ripley,CT,yes,1831.0,1,86.0,1,915.0,1,94.0,1,1373.0,1,90.0,1
Alexander Robertson,Alexander,Robertson,VA,no,4774.0,1,27.0,1,529.0,1,82.0,1,794.0,1,74.0,1
William Robinson,William,Robinson,NC,no,1105.0,2,165.0,2,552.0,2,133.0,2,829.0,2,99.0,2
William Robison,William,Robison,SC,yes,1105.0,2,165.0,2,552.0,2,133.0,2,829.0,2,99.0,2
Ephraim Root,Ephraim,Root,CT,yes,722.0,2,104.0,2,641.0,2,130.0,2,542.0,2,30.0,2
Nathaniel Russell,Nathaniel,Russell,SC,yes,17584.0,1,0.8100000000013097,1,8792.0,1,0.3999999999996362,1,13188.0,1,0.6000000000003638,1
John Rutledge,John,Rutledge,SC,yes,579.0,1,0.2799999999999727,1,289.0,1,0.6299999999999955,1,434.0,1,0.44999999999998863,1
John Rutledge,John,Rutledge,Constitution,yes,579.0,1,0.2799999999999727,1,289.0,1,0.6299999999999955,1,434.0,1,0.44999999999998863,1
Edward Rutledge,Edward,Rutledge,SC,yes,591.0,1,0.67999999999995,1,295.0,1,0.839999999999975,1,443.0,1,0.7599999999999909,1
Hugh Rutledge,Hugh,Rutledge,SC,yes,180.0,1,0.5600000000000023,1,90.0,1,0.269999999999996,1,135.0,1,0.4099999999999966,1
William Scott,William,Scott,SC,yes,3790.0,1,0.40000000000009095,1,1895.0,1,0.19000000000005457,1,2842.0,1,0.7899999999999636,1
John Scott,John,Scott,NC,no,97.0,1,74.0,1,48.0,1,87.0,1,73.0,1,30.0,1
Thomas Screven,Thomas,Screven,SC,yes,662.0,2,1.0400000000000205,2,331.0,2,0.5000000000000142,2,497.0,2,0.2599999999999909,2
Roger Sherman,Roger,Sherman,CT,yes,3435.0,1,91.0,1,1717.0,1,96.0,1,0.0,0,0.0,0
Roger Sherman,Roger,Sherman,Constitution,yes,3435.0,1,91.0,1,1717.0,1,96.0,1,0.0,0,0.0,0
Charles Simms,Charles,Simms,VA,yes,855.0,1,73.0,1,427.0,1,87.0,1,641.0,1,79.0,1
Samuel Smith,Samuel,Smith,SC,yes,16704.0,16,1049.1000000000001,16,9270.0,16,801.5300000000001,16,12544.0,16,644.2900000000001,16
Simeon Smith,Simeon,Smith,CT,yes,906.0,1,45.0,1,453.0,1,22.0,1,679.0,1,84.0,1
Thomas Smith,Thomas,Smith,MA,no,512.0,2,0.46999999999997044,2,255.0,2,1.2299999999999898,2,384.0,2,0.339999999999975,2
Thomas Smith,Thomas,Smith,VA,yes,512.0,2,0.46999999999997044,2,255.0,2,1.2299999999999898,2,384.0,2,0.339999999999975,2
David Smith,David,Smith,CT,yes,0.0,0,0.0,0,686.0,1,4.0,1,1029.0,1,6.0,1
William Smith,William,Smith,SC,yes,183734.0,62,40575.12222222223,53,53553.0,62,21724.061111111114,56,80255.0,62,31745.586666666666,62
Samuel Smith,Samuel,Smith,NC,yes,16704.0,16,1049.1000000000001,16,9270.0,16,801.5300000000001,16,12544.0,16,644.2900000000001,16
Stephen Smith,Stephen,Smith,SC,yes,69.0,1,59.0,1,34.0,1,80.0,1,52.0,1,19.0,1
Peter Smith,Peter,Smith,SC,yes,454.0,1,0.7300000000000182,1,227.0,1,0.36000000000001364,1,341.0,1,0.39999999999997726,1
Josiah Smith,Josiah,Smith,SC,yes,28268.0,8,3.9700000000003683,8,14133.0,8,2.9500000000001023,8,21201.0,8,2.9200000000009823,8
Jonathan Smith,Jonathan,Smith,MA,no,44.0,1,74.0,1,22.0,1,37.0,1,33.0,1,55.0,1
Josiah Smith,Josiah,Smith,MA,yes,28268.0,8,3.9700000000003683,8,14133.0,8,2.9500000000001023,8,21201.0,8,2.9200000000009823,8
Jonathan Smith,Jonathan,Smith,NH,no,44.0,1,74.0,1,22.0,1,37.0,1,33.0,1,55.0,1
Melancton Smith,Melancton,Smith,NY,yes,683.0,1,39.0,1,341.0,1,69.0,1,0.0,0,0.0,0
Jonathan Smith,Jonathan,Smith,NH,did not vote,44.0,1,74.0,1,22.0,1,37.0,1,33.0,1,55.0,1
John K. Smith,John K.,Smith,MA,yes,2394.0,3,969.4200000000001,3,1258.0,3,534.21,3,1826.0,3,751.31,3
Richard Smith,Richard,Smith,DE,yes,3105.0,1,88.0,1,1552.0,1,94.0,1,2329.0,1,41.0,1
John Smith,John,Smith,NY,yes,2394.0,3,969.4200000000001,3,1258.0,3,534.21,3,1826.0,3,751.31,3
John Steele,John,Steele,NC,yes,2259.0,3,134.0,3,1129.0,3,118.0,3,1000.0,3,165.0,3
John Steele,John,Steele,VA,no,2259.0,3,134.0,3,1129.0,3,118.0,3,1000.0,3,165.0,3
John Stevens,John,Stevens,NJ,yes,0.0,0,0.0,0,2732.0,2,100.0,2,5008.0,2,141.0,2
John Stevens,John,Stevens,MD,yes,0.0,0,0.0,0,2732.0,2,100.0,2,5008.0,2,141.0,2
John Stringer,John,Stringer,VA,yes,331.0,1,74.0,1,165.0,1,88.0,1,248.0,1,81.0,1
David Stuart,David,Stuart,VA,yes,3873.0,1,82.0,1,1936.0,1,92.0,1,2905.0,1,38.0,1
John Stuart,John,Stuart,VA,yes,1603.0,1,83.0,1,801.0,1,91.0,1,1202.0,1,87.0,1
Jonathan Sturges,Jonathan,Sturges,CT,yes,84.0,1,67.0,1,42.0,1,34.0,1,63.0,1,51.0,1
Jacobus Swartwout,Jacobus,Swartwout,NY,no,0.0,0,0.0,0,324.0,1,11.0,1,0.0,0,0.0,0
James Taylor,James,Taylor,VA,yes,2202.0,4,210.0,4,1100.0,4,206.0,4,1440.0,4,160.0,4
John Taylor,John,Taylor,MA,no,8318.0,2,83.0,2,4159.0,2,31.0,2,6238.0,2,112.0,2
Benjamin Temple,Benjamin,Temple,VA,no,3705.0,1,42.0,1,1852.0,1,71.0,1,2779.0,1,7.0,1
James Thomas,James,Thomas,RI,no,0.0,0,0.0,0,356.0,1,95.0,1,0.0,0,0.0,0
John Thomas,John,Thomas,SC,yes,0.0,0,0.0,0,0.0,0,0.0,0,535.0,1,43.0,1
Allen Thomas,Allen,Thomas,RI,yes,12.0,1,64.0,1,6.0,1,32.0,1,9.0,1,47.0,1
James Thompson,James,Thompson,NC,no,788.0,8,200.0,8,392.0,8,300.0,8,588.0,8,444.0,8
William Thompson,William,Thompson,MA,no,1452.0,3,267.0,3,726.0,3,135.0,3,750.0,2,71.0,2
William Thompson,William,Thompson,SC,yes,1452.0,3,267.0,3,726.0,3,135.0,3,750.0,2,71.0,2
John Thompson,John,Thompson,NC,yes,55.0,1,97.0,1,27.0,1,99.0,1,732.9775,2,12.0,1
William Thornton,William,Thornton,VA,yes,878.0,4,250.0,4,564.0,4,368.0,4,658.0,4,234.0,4
Anthony Toomer,Anthony,Toomer,SC,yes,241.0,1,0.5,1,120.0,1,0.7399999999999949,1,181.0,1,0.11000000000001364,1
John Treadwell,John,Treadwell,CT,yes,774.0,1,83.0,1,387.0,1,42.0,1,581.0,1,13.0,1
Alexander Tweed,Alexander,Tweed,SC,yes,146.0,1,0.1599999999999966,1,73.0,1,0.06999999999999318,1,109.0,1,0.6099999999999994,1
"John Tyler, Sr.",John,"Tyler, Sr.",VA,no,5604.0,8,376.0,8,2800.0,8,392.0,8,4204.0,8,188.0,8
Arnoldus Vanderhorst,Arnoldus,Vanderhorst,SC,yes,13112.0,1,0.5,1,6556.0,1,0.23999999999978172,1,9834.0,1,0.37000000000080036,1
Jeremiah Wadsworth,Jeremiah,Wadsworth,CT,yes,7856.0,1,13.0,1,3928.0,1,7.0,1,5892.0,1,10.0,1
John Wallace,John,Wallace,NC,yes,556.0,1,6.0,1,278.0,1,3.0,1,0.0,0,0.0,0
Ichabod Warner,Ichabod,Warner,CT,yes,1048.0,8,128.0,8,520.0,8,464.0,8,780.0,8,700.0,8
Samuel Warren,Samuel,Warren,SC,yes,1420.0,1,0.6600000000000819,1,710.0,1,0.3300000000000409,1,1065.0,1,0.4900000000000091,1
George Washington,George,Washington,Constitution,yes,247.0,1,98.0,1,123.0,1,99.0,1,185.0,1,98.0,1
John Watson,John,Watson,CT,yes,601.0,1,0.0,0,300.0,1,50.0,1,450.0,1,74.0,1
James Watson,James,Watson,NC,yes,18527.0,3,124.83555555555358,3,9263.0,3,62.91777777777679,3,13896.0,3,44.37666666666519,3
Ebenezer White,Ebenezer,White,CT,yes,104.0,1,56.0,1,52.0,1,28.0,1,78.0,1,42.0,1
Alexander White,Alexander,White,VA,yes,763.0,1,16.0,1,0.0,0,0.0,0,572.0,1,36.0,1
William White,William,White,VA,no,861.0,1,48.0,1,430.0,1,75.0,1,646.0,1,12.0,1
Daniel Whitney,Daniel,Whitney,MA,yes,67.0,1,16.0,1,33.0,1,58.0,1,50.0,1,37.0,1
Bradford William,Bradford,William,RI,yes,712.0,1,64.0,1,356.0,1,32.0,1,534.0,1,48.0,1
James Williams,James,Williams,MA,no,104810.0,12,404.0,12,46520.0,8,540.0,8,78606.0,12,714.0,12
Thomas Williams,Thomas,Williams,NC,no,942.0,2,1869.57,2,501.0,2,984.78,2,722.0,2,1378.17,2
Thomas P. Williams,Thomas P.,Williams,NC,yes,942.0,2,1869.57,2,501.0,2,984.78,2,722.0,2,1378.17,2
William Williams,William,Williams,CT,yes,1108.0,1,9.0,1,554.0,1,4.0,1,831.0,1,7.0,1
John Williams,John,Williams,NY,no,230.0,2,32.0,2,269.0,3,168.0,3,472.0,3,121.0,3
John Williams,John,Williams,VA,yes,230.0,2,32.0,2,269.0,3,168.0,3,472.0,3,121.0,3
Robert Williams,Robert,Williams,VA,no,2131.0,1,0.4699999999997999,1,1065.0,1,0.7300000000000182,1,1598.0,1,0.599999999999909,1
William Williams,William,Williams,NC,yes,1108.0,1,9.0,1,554.0,1,4.0,1,831.0,1,7.0,1
Edward Williams,Edward,Williams,NC,yes,157.0,1,54.0,1,78.0,1,77.0,1,118.0,1,15.0,1
Hugh Williamson,Hugh,Williamson,NC,yes,61.0,1,1086.6,1,61.0,1,543.3,1,61.0,1,814.94,1
Hugh Williamson,Hugh,Williamson,Constitution,yes,61.0,1,1086.6,1,61.0,1,543.3,1,61.0,1,814.94,1
William Wilson,William,Wilson,SC,yes,2525.0,1,43.0,1,1262.0,1,71.0,1,1894.0,1,7.0,1
David Wilson,David,Wilson,NC,yes,132.0,1,37.0,1,0.0,0,0.0,0,99.0,1,28.0,1
John Wilson,John,Wilson,VA,no,1625.0,1,77.0,1,812.0,1,89.0,1,1219.0,1,33.0,1
John Wilson,John,Wilson,VA,yes,1625.0,1,77.0,1,812.0,1,89.0,1,1219.0,1,33.0,1
William Wilson,William,Wilson,PA,yes,2525.0,1,43.0,1,1262.0,1,71.0,1,1894.0,1,7.0,1
Oliver Wolcott,Oliver,Wolcott,CT,yes,116.0,1,4.0,1,58.0,1,2.0,1,87.0,1,3.0,1
Joseph Wood,Joseph,Wood,MA,no,104.0,1,47.0,1,52.0,1,23.0,1,0.0,0,0.0,0
John Wood,John,Wood,NY,no,160.0,1,27.0,1,80.0,1,13.0,1,120.0,1,19.0,1
Joseph Wood,Joseph,Wood,MA,yes,104.0,1,47.0,1,52.0,1,23.0,1,0.0,0,0.0,0
Archibald Woods,Archibald,Woods,VA,yes,231.0,1,3.0,1,115.0,1,51.0,1,0.0,0,0.0,0
George Wythe,George,Wythe,Constitution,no,760.0,1,19.0,1,380.0,1,10.0,1,570.0,1,14.0,1
George Wythe,George,Wythe,VA,yes,760.0,1,19.0,1,380.0,1,10.0,1,570.0,1,14.0,1
